"Rewrite Rule","Target/As-is URL","Destination/To-be URL (Expected)","Testing Result"
"RewriteRule ^/products/jp/index.jsp$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/products/jp/index.jsp","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/jp/ir/faq/top.jsp$ https://www.santen.co.jp/ja/contact/faq/ [R=301,L]","https://www.santen.co.jp/ir/faq/top.jsp","https://www.santen.com/jp/contact/faq",false
"RewriteRule ^/jp/contact/sitemap.jsp$ https://www.santen.co.jp/ja/sitemap/ [R=301,L]","https://www.santen.co.jp/jp/contact/sitemap.jsp","https://www.santen.com/jp/sitemap",false
"RewriteRule ^/jp/contact/purpose.jsp$ https://www.santen.co.jp/ja/privacy/purpose.jsp [R=301,L]","https://www.santen.co.jp/jp/contact/purpose.jsp","https://www.santen.com/jp/privacy/purpose",false
"RewriteRule ^/jp/contact/procedure.jsp$ https://www.santen.co.jp/ja/privacy/procedure.jsp [R=301,L]","https://www.santen.co.jp/jp/contact/procedure.jsp","https://www.santen.com/jp/privacy/procedure",false
"RewriteRule ^/jp/contact/privacy.jsp$ https://www.santen.co.jp/ja/privacy/ [R=301,L]","https://www.santen.co.jp/jp/contact/privacy.jsp","https://www.santen.com/jp/privacy",false
"RewriteRule ^/jp/contact/legal.jsp$ https://www.santen.co.jp/ja/legal/ [R=301,L]","https://www.santen.co.jp/jp/contact/legal.jsp","https://www.santen.com/jp/legal",false
"RewriteRule ^/contact/jp/$ https://www.santen.co.jp/ja/contact/ [R=301,L]","https://www.santen.co.jp/contact/jp/","https://www.santen.com/jp/contact",false
"RewriteRule ^/contact/jp/index.jsp$ https://www.santen.co.jp/ja/contact/ [R=301,L]","https://www.santen.co.jp/contact/jp/index.jsp","https://www.santen.com/jp/contact",false
"RewriteRule ^/contact/jp/sitemap.jsp$ https://www.santen.co.jp/ja/sitemap/ [R=301,L]","https://www.santen.co.jp/contact/jp/sitemap.jsp","https://www.santen.com/jp/sitemap",false
"RewriteRule ^/contact/jp/legal.jsp$ https://www.santen.co.jp/ja/legal/ [R=301,L]","https://www.santen.co.jp/contact/jp/legal.jsp","https://www.santen.com/jp/legal",false
"RewriteRule ^/contact/jp/privacy.jsp$ https://www.santen.co.jp/ja/privacy/ [R=301,L]","https://www.santen.co.jp/contact/jp/privacy.jsp","https://www.santen.com/jp/privacy",false
"RewriteRule ^/ja$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ja","https://www.santen.com/jp",false
"RewriteRule ^/ja/privacy$ https://www.santen.co.jp/ja/privacy/ [R=301,L]","https://www.santen.co.jp/ja/privacy","https://www.santen.com/jp/privacy",false
"RewriteRule ^/ja/recruit$ https://www.santen.co.jp/ja/recruit/ [R=301,L]","https://www.santen.co.jp/ja/recruit","https://www.santen.com/jp/recruit",false
"RewriteRule ^/ja/recruit/career$ https://www.santen.co.jp/ja/recruit/career/ [R=301,L]","https://www.santen.co.jp/ja/recruit/career","https://www.santen.com/jp/recruit/career",false
"RewriteRule ^/ja/sitemap$ https://www.santen.co.jp/ja/sitemap/ [R=301,L]","https://www.santen.co.jp/ja/sitemap","https://www.santen.com/jp/sitemap",false
"RewriteRule ^/ja/health/$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ja/health","https://www.santen.com/jp",false
"RewriteRule ^/ja/health/sp/$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ja/health/sp/","https://www.santen.com/jp",false
"RewriteRule ^/ja/health/download/$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ja/health/download/","https://www.santen.com/jp",false
"RewriteRule ^/ja/health/download/list.jsp$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ja/health/download/list.jsp","https://www.santen.com/jp",false
"RewriteRule ^/ja/health/eye/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/ja/health/eye/anatomy/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/anatomy/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/ja/health/eye/anatomy/hyperopia/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/library/hyperopia/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/anatomy/hyperopia/","https://www.santen.com/jp/healthcare/eye/library/hyperopia",false
"RewriteRule ^/ja/health/eye/anatomy/myopia/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/library/myopia/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/anatomy/myopia/","https://www.santen.com/jp/healthcare/eye/library/myopia",false
"RewriteRule ^/ja/health/eye/anatomy/structure/$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/structure/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/anatomy/structure/","https://www.santen.com/jp/healthcare/eye/eyecare/eye_mechanism",false
"RewriteRule ^/ja/health/eye/eyecare/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/ja/health/eye/eyecare/allergen/$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/allergen/","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/ja/health/eye/eyecare/circulatory_syndrome/$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/eyestrain/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/circulatory_syndrome/","https://www.santen.com/jp/healthcare/eye/selfcheck/eyestrain",false
"RewriteRule ^/ja/health/eye/eyecare/eye_communication/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/eyestrain/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/eye_communication/","https://www.santen.com/jp/healthcare/eye/selfcheck/eyestrain",false
"RewriteRule ^/ja/health/eye/eyecare/eyelotion/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/eyelotion/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/eyelotion/","https://www.santen.com/jp/healthcare/eye/eyecare/eyelotion",false
"RewriteRule ^/ja/health/eye/eyecare/measures_for_eyestrain/$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/eyestrain/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/measures_for_eyestrain/","https://www.santen.com/jp/healthcare/eye/selfcheck/eyestrain",false
"RewriteRule ^/ja/health/eye/eyecare/measures_for_pollinosis/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/measures_for_pollinosis/","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/ja/health/eye/eyecare/pollinosis_research/$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/pollinosis_research/","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/ja/health/eye/eyecare/stretch/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/stretch/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/eyecare/stretch/","https://www.santen.com/jp/healthcare/eye/eyecare/stretch",false
"RewriteRule ^/ja/health/eye/knowledge/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/ja/health/eye/knowledge/1010/$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/1010/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/1010/","https://www.santen.com/jp/healthcare/eye/eyecare/1010",false
"RewriteRule ^/ja/health/eye/knowledge/contactlens/$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/contactlens/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/contactlens/","https://www.santen.com/jp/healthcare/eye/eyecare/contactlens",false
"RewriteRule ^/ja/health/eye/knowledge/contactlens/about_contactlens.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/contactlens/about_contactlens.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/contactlens/about_contactlens.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/contactlens/about_contactlens",false
"RewriteRule ^/ja/health/eye/knowledge/contactlens/dryeye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/contactlens/dryeye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/contactlens/dryeye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/contactlens/dryeye",false
"RewriteRule ^/ja/health/eye/knowledge/contactlens/maintenance.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/contactlens/maintenance.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/contactlens/maintenance.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/contactlens/maintenance",false
"RewriteRule ^/ja/health/eye/knowledge/contactlens/tear_and_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/contactlens/tear_and_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/contactlens/tear_and_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/contactlens/tear_and_eye",false
"RewriteRule ^/ja/health/eye/knowledge/presbyopia/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/library/hyperopia/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/presbyopia/","https://www.santen.com/jp/healthcare/eye/library/hyperopia",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/","https://www.santen.com/jp/healthcare/eye/eyecare/wonders",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/cat_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/cat_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/cat_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/cat_eye",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/eagle_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/eagle_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/eagle_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/eagle_eye",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/fish_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/fish_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/fish_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/fish_eye",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/fox_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/fox_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/fox_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/fox_eye",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/horse_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/horse_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/horse_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/horse_eye",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/iris.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/iris.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/iris.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/iris",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/lens.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/lens.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/lens.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/lens",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/pupil.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/pupil.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/pupil.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/pupil",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/retina.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/retina.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/retina.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/retina",false
"RewriteRule ^/ja/health/eye/knowledge/wonders/snake_eye.jsp$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/wonders/snake_eye.jsp [R=301,L]","https://www.santen.co.jp/ja/health/eye/knowledge/wonders/snake_eye.jsp","https://www.santen.com/jp/healthcare/eye/eyecare/wonders/snake_eye",false
"RewriteRule ^/ja/health/eye/library/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/ja/health/eye/library/","https://www.santen.com/jp/healthcare/eye",false
